Substrate,ECNumber,Organism_ID_sabio,kcat
12-Hydroxydodecanoic acid,1.1.1.1,9606,0.03
12-Hydroxydodecanoic acid,1.1.1.284,9606,6.166667
12-Hydroxydodecanoic acid,1.1.1.1,9796,1.833333
12-Hydroxydodecanoic acid,1.1.1.1,10116,20.0
12-Hydroxydodecanoic acid,1.1.1.1,93934,1.45
12-Methyl-tetradecanoic acid,1.14.14.1,224308,70.25
12-Methyl-tetradecanoic acid,1.14.14.1,279010,13.86667
13-Methyl-tetradecanoic acid,1.14.14.1,224308,64.41667
13-Methyl-tetradecanoic acid,1.14.14.1,279010,21.06667
13-cis-Retinal,1.1.1.1,9606,0.1833333
13-cis-Retinol,1.1.1.1,9606,0.01266667
14-Methyl-pentadecanoic acid,1.14.14.1,224308,79.83333
15-Keto-prostaglandin E1,1.3.1.48,10090,0.1233333
15-Keto-prostaglandin F2alpha,1.3.1.48,10090,0.2466667
15-Methyl-palmitic acid,1.14.14.1,224308,101.75
16-Hydroxyhexadecanoic acid,1.1.1.1,9606,6.166667
16-Hydroxyhexadecanoic acid,1.1.1.1,9796,1.666667
16-Ketoestrone,1.1.1.2,9606,7.083333
16-Ketoestrone,1.1.1.n11,9606,2.366667
16-Ketoestrone,1.1.1.209,10090,0.5833333
16-Ketoestrone,1.1.1.51,10116,1.883333
16-Ketoestrone,1.1.1.62,10116,0.08666667
"17alpha,20alpha-Dihydroxypregn-4-en-3-one",1.1.1.51,10116,0.1316667
"17alpha,20alpha-Dihydroxypregn-4-en-3-one",1.1.1.62,10116,0.000833333
17alpha-Hydroxy-5alpha-androstan-3-one,1.1.1.209,10090,0.1666667
17alpha-Hydroxyestr-4-en-3-one,1.1.1.209,10090,0.1266667
17alpha-Hydroxypregnenolone,1.14.14.19,8355,0.03266667
17alpha-Hydroxypregnenolone,1.14.14.19,9606,0.01133333
17alpha-Hydroxyprogesterone,1.14.14.19,8355,0.0355
17alpha-Hydroxyprogesterone,1.14.14.19,9606,0.002166667
17alpha-Hydroxyprogesterone,1.1.1.51,10116,0.04166667
17alpha-Hydroxyprogesterone,1.1.1.62,10116,0.1033333
"2',3'-Cyclic AMP",3.1.4.37,83333,7.63
"2',3'-Cyclic AMP",3.1.4.16,93061,0.91
"2',3'-Cyclic CMP",4.6.1.18,9913,3.49
"2',3'-Cyclic GMP",3.1.4.37,83333,1.97
"2',3'-Cyclic GMP",3.1.4.16,93061,0.37
"2',4'-Dihydroxychalcone",5.5.1.6,3879,12.58333
2'-(4-Methylumbelliferyl)-alpha-D-N-acetylneuraminic acid,3.2.1.18,9606,22.92
2'-Deoxyadenosine 3'-phosphate,3.1.3.2,83333,27.0
2'-Deoxyguanosine 3'-phosphate,3.1.3.2,83333,26.0
2'-Deoxyuridine 3'-phosphate,3.1.3.2,83333,29.0
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,274,24.6
"2,2'-Azino-bis(3-ethylbenzthiazoline-6-sulfonic acid)",1.10.3.2,292,619.44
